nombre,serie,h_mm,b_mm,tw_mm,tf_mm,r_mm,masa_kg_m,A_cm2,Avy_cm2,Avz_cm2,Iy_cm4,Wely_cm3,Wply_cm3,iy_cm,Iz_cm4,Welz_cm3,Wplz_cm3,iz_cm,It_cm4,Iw_cm6
HEA800,HEA,790.0,300.0,15.0,28.0,30.0,224.4,285.83,168.0,138.83,303400.0,7682.0,8699.0,32.58,12640.0,842.6,1312.0,6.65,609.6,18113000.0
HEA900,HEA,890.0,300.0,16.0,30.0,30.0,251.6,320.53,180.0,163.33,422100.0,9485.0,10810.0,36.29,13550.0,903.2,1414.0,6.5,751.0,24748000.0
HEA1000,HEA,990.0,300.0,16.5,31.0,30.0,272.3,346.85,186.0,184.56,553800.0,11190.0,12820.0,39.96,14000.0,933.6,1470.0,6.35,837.3,31834000.0
HEB100,HEB,100.0,100.0,6.0,10.0,12.0,20.4,26.04,20.0,9.04,449.5,89.91,104.2,4.16,167.3,33.45,51.42,2.53,9.309,3233.0
HEB120,HEB,120.0,120.0,6.5,11.0,12.0,26.7,34.01,26.4,10.96,864.4,144.1,165.2,5.04,317.5,52.92,80.97,3.06,13.94,9125.0
HEB140,HEB,140.0,140.0,7.0,12.0,12.0,33.7,42.96,33.6,13.08,1509.0,215.6,245.4,5.93,549.7,78.52,119.8,3.58,20.2,21965.0
HEB160,HEB,160.0,160.0,8.0,13.0,15.0,42.6,54.25,41.6,17.59,2492.0,311.5,354.0,6.78,889.2,111.2,170.0,4.05,31.24,46667.0
HEB180,HEB,180.0,180.0,8.5,14.0,15.0,51.2,65.25,50.4,20.24,3831.0,425.7,481.4,7.66,1363.0,151.4,231.0,4.57,42.24,91728.0
HEB200,HEB,200.0,200.0,9.0,15.0,18.0,61.3,78.08,60.0,24.83,5696.0,569.6,642.5,8.54,2003.0,200.3,305.8,5.07,59.59,167060.0
HEB220,HEB,220.0,220.0,9.5,16.0,18.0,71.5,91.04,70.4,27.92,8091.0,735.5,827.0,9.43,2843.0,258.5,393.9,5.59,77.02,289510.0
HEB240,HEB,240.0,240.0,10.0,17.0,21.0,83.2,105.99,81.6,33.23,11260.0,938.3,1053.0,10.31,3923.0,326.9,498.4,6.08,103.6,476280.0
HEB260,HEB,260.0,260.0,10.0,17.5,24.0,93.0,118.44,91.0,37.59,14920.0,1148.0,1283.0,11.22,5135.0,395.0,602.2,6.58,125.7,736280.0
HEB280,HEB,280.0,280.0,10.5,18.0,24.0,103.1,131.36,100.8,41.09,19270.0,1376.0,1534.0,12.11,6595.0,471.0,717.6,7.09,145.3,1107200.0
HEB300,HEB,300.0,300.0,11.0,19.0,27.0,117.0,149.08,114.0,47.43,25170.0,1678.0,1869.0,12.99,8563.0,570.9,870.1,7.58,187.4,1651000.0
HEB320,HEB,320.0,300.0,11.5,20.5,27.0,126.7,161.34,123.0,51.77,30820.0,1926.0,2149.0,13.82,9239.0,615.9,939.1,7.57,229.2,2026200.0
HEB340,HEB,340.0,300.0,12.0,21.5,27.0,134.2,170.9,129.0,56.09,36660.0,2156.0,2408.0,14.65,9690.0,646.0,985.7,7.53,262.0,2405600.0
HEB360,HEB,360.0,300.0,12.5,22.5,27.0,141.8,180.63,135.0,60.6,43190.0,2400.0,2683.0,15.46,10140.0,676.1,1032.0,7.49,297.9,2829300.0
HEB400,HEB,400.0,300.0,13.5,24.0,27.0,155.3,197.78,144.0,69.98,57680.0,2884.0,3232.0,17.08,10820.0,721.3,1104.0,7.4,361.1,3751100.0
HEB450,HEB,450.0,300.0,14.0,26.0,27.0,171.1,217.98,156.0,79.66,79890.0,3551.0,3982.0,19.14,11720.0,781.4,1198.0,7.33,448.9,5177700.0
HEB500,HEB,500.0,300.0,14.5,28.0,27.0,187.3,238.64,168.0,89.82,107200.0,4287.0,4815.0,21.19,12620.0,841.6,1292.0,7.27,549.9,6920700.0
HEB550,HEB,550.0,300.0,15.0,29.0,27.0,199.4,254.06,174.0,100.07,136700.0,4971.0,5591.0,23.2,13080.0,871.8,1341.0,7.17,612.3,8743900.0
HEB600,HEB,600.0,300.0,15.5,30.0,27.0,211.9,269.96,180.0,110.81,171000.0,5701.0,6425.0,25.17,13530.0,902.0,1391.0,7.08,679.6,10838000.0
HEB650,HEB,650.0,300.0,16.0,31.0,27.0,224.8,286.34,186.0,122.04,210600.0,6480.0,7320.0,27.12,13980.0,932.3,1441.0,6.99,752.0,13219000.0
HEB700,HEB,700.0,300.0,17.0,32.0,27.0,240.5,306.38,192.0,137.1,256900.0,7340.0,8327.0,28.96,14440.0,962.7,1495.0,6.87,841.7,15900000.0
HEB800,HEB,800.0,300.0,17.5,33.0,30.0,262.3,334.18,198.0,161.75,359100.0,8977.0,10230.0,32.78,14900.0,993.6,1553.0,6.68,962.1,21617000.0
HEB900,HEB,900.0,300.0,18.5,35.0,30.0,291.5,371.28,210.0,188.75,494100.0,10980.0,12580.0,36.48,15820.0,1054.0,1658.0,6.53,1154.0,29196000.0
HEB1000,HEB,1000.0,300.0,19.0,36.0,30.0,314.0,400.05,216.0,212.49,644700.0,12890.0,14860.0,40.15,16280.0,1085.0,1716.0,6.38,1272.0,37340000.0
HEM100,HEM,120.0,106.0,12.0,20.0,12.0,41.8,53.24,42.4,18.04,1143.0,190.4,235.8,4.63,399.2,75.31,116.3,2.74,67.28,9430.0
HEM120,HEM,140.0,126.0,12.5,21.0,12.0,52.1,66.41,52.92,21.15,2018.0,288.2,350.6,5.51,702.8,111.6,171.6,3.25,90.53,23887.0
HEM140,HEM,160.0,146.0,13.0,22.0,12.0,63.2,80.56,64.24,24.46,3291.0,411.4,493.8,6.39,1144.0,156.8,240.5,3.77,118.6,52826.0
HEM160,HEM,180.0,166.0,14.0,23.0,15.0,76.2,97.05,76.36,30.81,5098.0,566.5,674.6,7.25,1759.0,211.9,325.5,4.26,160.8,104700.0
HEM180,HEM,200.0,186.0,14.5,24.0,15.0,88.9,113.25,89.28,34.65,7483.0,748.3,883.4,8.13,2580.0,277.4,425.2,4.77,201.4,194300.0
HEM200,HEM,220.0,206.0,15.0,25.0,18.0,103.1,131.28,103.0,41.03,10640.0,967.4,1135.0,9.0,3651.0,354.5,543.2,5.27,258.1,336870.0
HEM220,HEM,240.0,226.0,15.5,26.0,18.0,117.3,149.44,117.52,45.31,14600.0,1217.0,1419.0,9.89,5012.0,443.5,678.6,5.79,313.6,559550.0
HEM240,HEM,270.0,248.0,18.0,32.0,21.0,156.7,199.59,158.72,60.07,24290.0,1799.0,2117.0,11.03,8153.0,657.5,1006.0,6.39,627.2,1123500.0
HEM260,HEM,290.0,268.0,18.0,32.5,24.0,172.4,219.64,174.2,66.89,31310.0,2159.0,2524.0,11.94,10450.0,779.7,1192.0,6.9,722.3,1684000.0
HEM280,HEM,310.0,288.0,18.5,33.0,24.0,188.5,240.16,190.08,72.03,39550.0,2551.0,2966.0,12.83,13160.0,914.1,1397.0,7.4,809.4,2463000.0
HEM300,HEM,340.0,310.0,21.0,39.0,27.0,237.9,303.08,241.8,90.53,59200.0,3482.0,4078.0,13.98,19400.0,1252.0,1913.0,8.0,1415.0,4280100.0
HEM320,HEM,359.0,309.0,21.0,40.0,27.0,245.0,312.05,247.2,94.85,68130.0,3796.0,4435.0,14.78,19710.0,1276.0,1951.0,7.95,1510.0,4890000.0
HEM340,HEM,377.0,309.0,21.0,40.0,27.0,247.9,315.83,247.2,98.63,76370.0,4052.0,4718.0,15.55,19710.0,1276.0,1953.0,7.9,1516.0,5463300.0
HEM360,HEM,395.0,308.0,21.0,40.0,27.0,250.3,318.81,246.4,102.41,84870.0,4297.0,4989.0,16.32,19520.0,1268.0,1942.0,7.83,1517.0,6009300.0
HEM400,HEM,432.0,307.0,21.0,40.0,27.0,255.7,325.78,245.6,110.18,104100.0,4820.0,5571.0,17.88,19340.0,1260.0,1934.0,7.7,1524.0,7268800.0
HEM450,HEM,478.0,307.0,21.0,40.0,27.0,263.3,335.44,245.6,119.84,131500.0,5501.0,6331.0,19.8,19340.0,1260.0,1939.0,7.59,1538.0,9092300.0
HEM500,HEM,524.0,306.0,21.0,40.0,27.0,270.3,344.3,244.8,129.5,161900.0,6180.0,7094.0,21.69,19150.0,1252.0,1932.0,7.46,1548.0,11012000.0
HEM550,HEM,572.0,306.0,21.0,40.0,27.0,278.2,354.38,244.8,139.58,198000.0,6923.0,7933.0,23.64,19160.0,1252.0,1937.0,7.35,1563.0,13323000.0
HEM600,HEM,620.0,305.0,21.0,40.0,27.0,285.5,363.66,244.0,149.66,237400.0,7660.0,8772.0,25.55,18980.0,1244.0,1930.0,7.22,1574.0,15700000.0
HEM650,HEM,668.0,305.0,21.0,40.0,27.0,293.4,373.74,244.0,159.74,281700.0,8433.0,9657.0,27.45,18980.0,1245.0,1936.0,7.13,1588.0,18427000.0
HEM700,HEM,716.0,304.0,21.0,40.0,27.0,300.7,383.02,243.2,169.82,329300.0,9198.0,10540.0,29.32,18800.0,1237.0,1929.0,7.01,1599.0,21161000.0
HEM800,HEM,814.0,303.0,21.0,40.0,30.0,317.3,404.27,242.4,194.27,442600.0,10870.0,12490.0,33.09,18630.0,1230.0,1930.0,6.79,1663.0,27472000.0
HEM900,HEM,910.0,302.0,21.0,40.0,30.0,332.5,423.63,241.6,214.43,570400.0,12540.0,14440.0,36.7,18450.0,1222.0,1929.0,6.6,1689.0,34419000.0
HEM1000,HEM,1008.0,302.0,21.0,40.0,30.0,348.7,444.21,241.6,235.01,722300.0,14330.0,16570.0,40.32,18460.0,1222.0,1940.0,6.45,1719.0,42665000.0
